,Column ID,AUS_CLI,CAN_CLI,ITA_CLI,CHN_CLI,USA_CLI,GBR_CLI,JPN_CLI,DEU_CLI,FRA_CLI,JPN_UNEMPLOYMENT,CAN_UNEMPLOYMENT,USA_UNEMPLOYMENT,AUS_UNEMPLOYMENT,FRA_UNEMPLOYMENT,GBR_UNEMPLOYMENT,DEU_UNEMPLOYMENT,ITA_UNEMPLOYMENT,DEU_RATE_3M,USA_RATE_3M,AUS_RATE_3M,FRA_RATE_3M,CAN_RATE_3M,ITA_RATE_3M,GBR_RATE_3M,EA19_RATE_3M,JPN_RATE_3M,CHE_RATE_3M,AUS_CPI,CAN_CPI,CHE_CPI,CHN_CPI,DEU_CPI,FRA_CPI,GBR_CPI,ITA_CPI,JPN_CPI,USA_CPI,AUS_GDP_GROWTH,CAN_GDP_GROWTH,CHN_GDP_GROWTH,FRA_GDP_GROWTH,DEU_GDP_GROWTH,ITA_GDP_GROWTH,JPN_GDP_GROWTH,CHE_GDP_GROWTH,GBR_GDP_GROWTH,USA_GDP_GROWTH,EA19_GDP_GROWTH,EA19_CONSUMER_CONF,GBR_GBR_GILT_10Y,DEU_DEU_BUND_10Y,DEU_DEU_BUS_CONF,GBR_GBR_BUS_CONF,FRA_FRA_BUS_CONF,ITA_ITA_BUS_CONF,DEU_DEU_CON_CONF,GBR_GBR_CON_CONF,JPN_JPN_CON_CONF,CHN_CHN_CON_CONF
,Source Code,CLI,CLI,CLI,CLI,CLI,CLI,CLI,CLI,CLI,UNEMPLOYMENT,UNEMPLOYMENT,UNEMPLOYMENT,UNEMPLOYMENT,UNEMPLOYMENT,UNEMPLOYMENT,UNEMPLOYMENT,UNEMPLOYMENT,RATE_3M,RATE_3M,RATE_3M,RATE_3M,RATE_3M,RATE_3M,RATE_3M,RATE_3M,RATE_3M,RATE_3M,FP.CPI.TOTL.ZG,FP.CPI.TOTL.ZG,FP.CPI.TOTL.ZG,FP.CPI.TOTL.ZG,FP.CPI.TOTL.ZG,FP.CPI.TOTL.ZG,FP.CPI.TOTL.ZG,FP.CPI.TOTL.ZG,FP.CPI.TOTL.ZG,FP.CPI.TOTL.ZG,NGDP_RPCH,NGDP_RPCH,NGDP_RPCH,NGDP_RPCH,NGDP_RPCH,NGDP_RPCH,NGDP_RPCH,NGDP_RPCH,NGDP_RPCH,NGDP_RPCH,NGDP_RPCH,CSCICP03EZM665S,IRLTLT01GBM156N,IRLTLT01DEM156N,BSCICP02DEM460S,BSCICP02GBQ460S,BSCICP02FRM460S,BSCICP02ITM460S,CSCICP02DEM460S,CSCICP02GBM460S,CSCICP02JPM460S,CSCICP02CNM460S
,Source,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,IMF,IMF,IMF,IMF,IMF,IMF,IMF,IMF,IMF,IMF,IMF,FRED,FRED,FRED,FRED,FRED,FRED,FRED,FRED,FRED,FRED,FRED
,Indicator,Composite Leading Indicator (CLI),Composite Leading Indicator (CLI),Composite Leading Indicator (CLI),Composite Leading Indicator (CLI),Composite Leading Indicator (CLI),Composite Leading Indicator (CLI),Composite Leading Indicator (CLI),Composite Leading Indicator (CLI),Composite Leading Indicator (CLI),Unemployment Rate,Unemployment Rate,Unemployment Rate,Unemployment Rate,Unemployment Rate,Unemployment Rate,Unemployment Rate,Unemployment Rate,Short-term Interest Rate (3M),Short-term Interest Rate (3M),Short-term Interest Rate (3M),Short-term Interest Rate (3M),Short-term Interest Rate (3M),Short-term Interest Rate (3M),Short-term Interest Rate (3M),Short-term Interest Rate (3M),Short-term Interest Rate (3M),Short-term Interest Rate (3M),CPI Headline YoY %,CPI Headline YoY %,CPI Headline YoY %,CPI Headline YoY %,CPI Headline YoY %,CPI Headline YoY %,CPI Headline YoY %,CPI Headline YoY %,CPI Headline YoY %,CPI Headline YoY %,Real GDP Growth (Annual %),Real GDP Growth (Annual %),Real GDP Growth (Annual %),Real GDP Growth (Annual %),Real GDP Growth (Annual %),Real GDP Growth (Annual %),Real GDP Growth (Annual %),Real GDP Growth (Annual %),Real GDP Growth (Annual %),Real GDP Growth (Annual %),Real GDP Growth (Annual %),Consumer Confidence,UK 10-Year Gilt Yield,Germany 10-Year Bund Yield,Germany Business Confidence,UK Business Confidence,France Business Confidence,Italy Business Confidence,Germany Consumer Confidence,UK Consumer Confidence,Japan Consumer Confidence,China Consumer Confidence
,Country,Australia,Canada,Italy,China,United States,United Kingdom,Japan,Germany,France,Japan,Canada,United States,Australia,France,United Kingdom,Germany,Italy,Germany,United States,Australia,France,Canada,Italy,United Kingdom,Eurozone,Japan,Switzerland,Australia,Canada,Switzerland,China,Germany,France,United Kingdom,Italy,Japan,United States,Australia,Canada,China,France,Germany,Italy,Japan,Switzerland,United Kingdom,United States,Eurozone,Eurozone,United Kingdom,Germany,Germany,United Kingdom,France,Italy,Germany,United Kingdom,Japan,China
,Units,Index (amplitude adjusted; long-run avg = 100),Index (amplitude adjusted; long-run avg = 100),Index (amplitude adjusted; long-run avg = 100),Index (amplitude adjusted; long-run avg = 100),Index (amplitude adjusted; long-run avg = 100),Index (amplitude adjusted; long-run avg = 100),Index (amplitude adjusted; long-run avg = 100),Index (amplitude adjusted; long-run avg = 100),Index (amplitude adjusted; long-run avg = 100),% of labour force (SA total age 15+),% of labour force (SA total age 15+),% of labour force (SA total age 15+),% of labour force (SA total age 15+),% of labour force (SA total age 15+),% of labour force (SA total age 15+),% of labour force (SA total age 15+),% of labour force (SA total age 15+),% per annum,% per annum,% per annum,% per annum,% per annum,% per annum,% per annum,% per annum,% per annum,% per annum,% change year-on-year (annual average),% change year-on-year (annual average),% change year-on-year (annual average),% change year-on-year (annual average),% change year-on-year (annual average),% change year-on-year (annual average),% change year-on-year (annual average),% change year-on-year (annual average),% change year-on-year (annual average),% change year-on-year (annual average),% change year-on-year constant prices,% change year-on-year constant prices,% change year-on-year constant prices,% change year-on-year constant prices,% change year-on-year constant prices,% change year-on-year constant prices,% change year-on-year constant prices,% change year-on-year constant prices,% change year-on-year constant prices,% change year-on-year constant prices,% change year-on-year constant prices,Balance (long-run avg = 100),% per annum,% per annum,Composite indicator (normal value = 100),Composite indicator (normal value = 100),Composite indicator (normal value = 100),Composite indicator (normal value = 100),Composite indicator (normal value = 100),Composite indicator (normal value = 100),Composite indicator (normal value = 100),Composite indicator (normal value = 100)
,Frequency,Weekly (monthly → ffill),Weekly (monthly → ffill),Weekly (monthly → ffill),Weekly (monthly → ffill),Weekly (monthly → ffill),Weekly (monthly → ffill),Weekly (monthly → ffill),Weekly (monthly → ffill),Weekly (monthly → ffill),Weekly (monthly → ffill),Weekly (monthly → ffill),Weekly (monthly → ffill),Weekly (monthly → ffill),Weekly (monthly → ffill),Weekly (monthly → ffill),Weekly (monthly → ffill),Weekly (monthly → ffill),Weekly (monthly → ffill),Weekly (monthly → ffill),Weekly (monthly → ffill),Weekly (monthly → ffill),Weekly (monthly → ffill),Weekly (monthly → ffill),Weekly (monthly → ffill),Weekly (monthly → ffill),Weekly (monthly → ffill),Weekly (monthly → ffill),Weekly (annual → ffill),Weekly (annual → ffill),Weekly (annual → ffill),Weekly (annual → ffill),Weekly (annual → ffill),Weekly (annual → ffill),Weekly (annual → ffill),Weekly (annual → ffill),Weekly (annual → ffill),Weekly (annual → ffill),Weekly (annual → ffill),Weekly (annual → ffill),Weekly (annual → ffill),Weekly (annual → ffill),Weekly (annual → ffill),Weekly (annual → ffill),Weekly (annual → ffill),Weekly (annual → ffill),Weekly (annual → ffill),Weekly (annual → ffill),Weekly (annual → ffill),Weekly (monthly → ffill),Weekly (monthly → ffill),Weekly (monthly → ffill),Weekly (monthly → ffill),Quarterly,Weekly (monthly → ffill),Weekly (monthly → ffill),Weekly (monthly → ffill),Weekly (monthly → ffill),Weekly (monthly → ffill),Weekly (monthly → ffill)
,Last Updated,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC,2026-04-23 12:09 UTC
row_id,Date,AUS_CLI,CAN_CLI,ITA_CLI,CHN_CLI,USA_CLI,GBR_CLI,JPN_CLI,DEU_CLI,FRA_CLI,JPN_UNEMPLOYMENT,CAN_UNEMPLOYMENT,USA_UNEMPLOYMENT,AUS_UNEMPLOYMENT,FRA_UNEMPLOYMENT,GBR_UNEMPLOYMENT,DEU_UNEMPLOYMENT,ITA_UNEMPLOYMENT,DEU_RATE_3M,USA_RATE_3M,AUS_RATE_3M,FRA_RATE_3M,CAN_RATE_3M,ITA_RATE_3M,GBR_RATE_3M,EA19_RATE_3M,JPN_RATE_3M,CHE_RATE_3M,AUS_CPI,CAN_CPI,CHE_CPI,CHN_CPI,DEU_CPI,FRA_CPI,GBR_CPI,ITA_CPI,JPN_CPI,USA_CPI,AUS_GDP_GROWTH,CAN_GDP_GROWTH,CHN_GDP_GROWTH,FRA_GDP_GROWTH,DEU_GDP_GROWTH,ITA_GDP_GROWTH,JPN_GDP_GROWTH,CHE_GDP_GROWTH,GBR_GDP_GROWTH,USA_GDP_GROWTH,EA19_GDP_GROWTH,EA19_CONSUMER_CONF,GBR_GBR_GILT_10Y,DEU_DEU_BUND_10Y,DEU_DEU_BUS_CONF,GBR_GBR_BUS_CONF,FRA_FRA_BUS_CONF,ITA_ITA_BUS_CONF,DEU_DEU_CON_CONF,GBR_GBR_CON_CONF,JPN_JPN_CON_CONF,CHN_CHN_CON_CONF
1,1960-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1960-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1960-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1960-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1960-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1960-02-05,,99.6450,,,100.7581,104.2180,101.4136,,,1.9000,6.1000,5.2000,,,,,,4.3600,,,,5.4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3300,6.5000,,,,,,,,
7,1960-02-12,,99.6450,,,100.7581,104.2180,101.4136,,,1.9000,6.1000,5.2000,,,,,,4.3600,,,,5.4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3300,6.5000,,,,,,,,
8,1960-02-19,,99.6450,,,100.7581,104.2180,101.4136,,,1.9000,6.1000,5.2000,,,,,,4.3600,,,,5.4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3300,6.5000,,,,,,,,
9,1960-02-26,,99.6450,,,100.7581,104.2180,101.4136,,,1.9000,6.1000,5.2000,,,,,,4.3600,,,,5.4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3300,6.5000,,,,,,,,
10,1960-03-04,,99.4421,,,100.4503,103.8810,101.4571,,,1.7000,6.4000,4.8000,,,,,,4.4700,,,,5.2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4000,6.4000,,,,,,,,
11,1960-03-11,,99.4421,,,100.4503,103.8810,101.4571,,,1.7000,6.4000,4.8000,,,,,,4.4700,,,,5.2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4000,6.4000,,,,,,,,
12,1960-03-18,,99.4421,,,100.4503,103.8810,101.4571,,,1.7000,6.4000,4.8000,,,,,,4.4700,,,,5.2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4000,6.4000,,,,,,,,
13,1960-03-25,,99.4421,,,100.4503,103.8810,101.4571,,,1.7000,6.4000,4.8000,,,,,,4.4700,,,,5.2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4000,6.4000,,,,,,,,
14,1960-04-01,,99.2330,,,100.1096,103.3225,101.4651,,,1.7000,6.5000,5.4000,,,,,,4.7100,,,,4.1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5900,6.4000,,,,,,,,
15,1960-04-08,,99.2330,,,100.1096,103.3225,101.4651,,,1.7000,6.5000,5.4000,,,,,,4.7100,,,,4.1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5900,6.4000,,,,,,,,
16,1960-04-15,,99.2330,,,100.1096,103.3225,101.4651,,,1.7000,6.5000,5.4000,,,,,,4.7100,,,,4.1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5900,6.4000,,,,,,,,
17,1960-04-22,,99.2330,,,100.1096,103.3225,101.4651,,,1.7000,6.5000,5.4000,,,,,,4.7100,,,,4.1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5900,6.4000,,,,,,,,
18,1960-04-29,,99.2330,,,100.1096,103.3225,101.4651,,,1.7000,6.5000,5.4000,,,,,,4.7100,,,,4.1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5900,6.4000,,,,,,,,
19,1960-05-06,,99.0488,,,99.7876,102.7014,101.4495,,,1.7000,6.8000,5.2000,,,,,,4.5900,,,,4.2900,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6700,6.4000,,,,,,,,
20,1960-05-13,,99.0488,,,99.7876,102.7014,101.4495,,,1.7000,6.8000,5.2000,,,,,,4.5900,,,,4.2900,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6700,6.4000,,,,,,,,
21,1960-05-20,,99.0488,,,99.7876,102.7014,101.4495,,,1.7000,6.8000,5.2000,,,,,,4.5900,,,,4.2900,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6700,6.4000,,,,,,,,
22,1960-05-27,,99.0488,,,99.7876,102.7014,101.4495,,,1.7000,6.8000,5.2000,,,,,,4.5900,,,,4.2900,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6700,6.4000,,,,,,,,
23,1960-06-03,,98.9193,,,99.5064,102.1409,101.4380,,,1.7000,7.2000,5.1000,,,,,,4.6400,,,,3.7800,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6900,6.4000,,,,,,,,
24,1960-06-10,,98.9193,,,99.5064,102.1409,101.4380,,,1.7000,7.2000,5.1000,,,,,,4.6400,,,,3.7800,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6900,6.4000,,,,,,,,
25,1960-06-17,,98.9193,,,99.5064,102.1409,101.4380,,,1.7000,7.2000,5.1000,,,,,,4.6400,,,,3.7800,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6900,6.4000,,,,,,,,
26,1960-06-24,,98.9193,,,99.5064,102.1409,101.4380,,,1.7000,7.2000,5.1000,,,,,,4.6400,,,,3.7800,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6900,6.4000,,,,,,,,
27,1960-07-01,,98.8570,,,99.2610,101.6927,101.4584,,,1.6000,6.7000,5.4000,,,,,,5.2500,,,,3.8700,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0400,6.6000,,,,,,,,
28,1960-07-08,,98.8570,,,99.2610,101.6927,101.4584,,,1.6000,6.7000,5.4000,,,,,,5.2500,,,,3.8700,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0400,6.6000,,,,,,,,
29,1960-07-15,,98.8570,,,99.2610,101.6927,101.4584,,,1.6000,6.7000,5.4000,,,,,,5.2500,,,,3.8700,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0400,6.6000,,,,,,,,
30,1960-07-22,,98.8570,,,99.2610,101.6927,101.4584,,,1.6000,6.7000,5.4000,,,,,,5.2500,,,,3.8700,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0400,6.6000,,,,,,,,
31,1960-07-29,,98.8570,,,99.2610,101.6927,101.4584,,,1.6000,6.7000,5.4000,,,,,,5.2500,,,,3.8700,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0400,6.6000,,,,,,,,
32,1960-08-05,,98.8547,,,99.0302,101.3662,101.5257,,,1.5000,7.1000,5.5000,,,,,,5.5800,,,,3.7800,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0100,6.7000,,,,,,,,
33,1960-08-12,,98.8547,,,99.0302,101.3662,101.5257,,,1.5000,7.1000,5.5000,,,,,,5.5800,,,,3.7800,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0100,6.7000,,,,,,,,
34,1960-08-19,,98.8547,,,99.0302,101.3662,101.5257,,,1.5000,7.1000,5.5000,,,,,,5.5800,,,,3.7800,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0100,6.7000,,,,,,,,
35,1960-08-26,,98.8547,,,99.0302,101.3662,101.5257,,,1.5000,7.1000,5.5000,,,,,,5.5800,,,,3.7800,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0100,6.7000,,,,,,,,
36,1960-09-02,,98.9037,,,98.8114,101.1481,101.6371,,,1.6000,7.6000,5.6000,,,,,,5.4400,,,,3.0200,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0300,6.5000,,,,,,,,
37,1960-09-09,,98.9037,,,98.8114,101.1481,101.6371,,,1.6000,7.6000,5.6000,,,,,,5.4400,,,,3.0200,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0300,6.5000,,,,,,,,
38,1960-09-16,,98.9037,,,98.8114,101.1481,101.6371,,,1.6000,7.6000,5.6000,,,,,,5.4400,,,,3.0200,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0300,6.5000,,,,,,,,
39,1960-09-23,,98.9037,,,98.8114,101.1481,101.6371,,,1.6000,7.6000,5.6000,,,,,,5.4400,,,,3.0200,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0300,6.5000,,,,,,,,
40,1960-09-30,,98.9659,,,98.5948,100.9890,101.7967,,,1.6000,7.5000,5.5000,,,,,,5.6100,,,,2.5200,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1000,6.5000,,,,,,,,
41,1960-10-07,,98.9659,,,98.5948,100.9890,101.7967,,,1.6000,7.5000,5.5000,,,,,,5.6100,,,,2.5200,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1000,6.5000,,,,,,,,
42,1960-10-14,,98.9659,,,98.5948,100.9890,101.7967,,,1.6000,7.5000,5.5000,,,,,,5.6100,,,,2.5200,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1000,6.5000,,,,,,,,
43,1960-10-21,,98.9659,,,98.5948,100.9890,101.7967,,,1.6000,7.5000,5.5000,,,,,,5.6100,,,,2.5200,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1000,6.5000,,,,,,,,
44,1960-10-28,,98.9659,,,98.5948,100.9890,101.7967,,,1.6000,7.5000,5.5000,,,,,,5.6100,,,,2.5200,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1000,6.5000,,,,,,,,
45,1960-11-04,,99.0393,,,98.4086,100.8450,101.9940,,,1.4000,7.6000,6.1000,,,,,,6.1000,,,,3.4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1000,6.3000,,,,,,,,
46,1960-11-11,,99.0393,,,98.4086,100.8450,101.9940,,,1.4000,7.6000,6.1000,,,,,,6.1000,,,,3.4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1000,6.3000,,,,,,,,
47,1960-11-18,,99.0393,,,98.4086,100.8450,101.9940,,,1.4000,7.6000,6.1000,,,,,,6.1000,,,,3.4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1000,6.3000,,,,,,,,
48,1960-11-25,,99.0393,,,98.4086,100.8450,101.9940,,,1.4000,7.6000,6.1000,,,,,,6.1000,,,,3.4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1000,6.3000,,,,,,,,
49,1960-12-02,,99.1393,,,98.2866,100.7347,102.2134,,,1.5000,7.5000,6.1000,,,,,,5.3800,,,,4.2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1400,6.2000,,,,,,,,
50,1960-12-09,,99.1393,,,98.2866,100.7347,102.2134,,,1.5000,7.5000,6.1000,,,,,,5.3800,,,,4.2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1400,6.2000,,,,,,,,
51,1960-12-16,,99.1393,,,98.2866,100.7347,102.2134,,,1.5000,7.5000,6.1000,,,,,,5.3800,,,,4.2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1400,6.2000,,,,,,,,
52,1960-12-23,,99.1393,,,98.2866,100.7347,102.2134,,,1.5000,7.5000,6.1000,,,,,,5.3800,,,,4.2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1400,6.2000,,,,,,,,
53,1960-12-30,,99.1393,,,98.2866,100.7347,102.2134,,,1.5000,7.5000,6.1000,,,,,,5.3800,,,,4.2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1400,6.2000,,,,,,,,
54,1961-01-06,,99.2831,,,98.2644,100.6986,102.4312,,,1.5000,7.6000,6.6000,,,,,,5.0600,,,,4.2900,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1700,6.2000,,,,,,,,
55,1961-01-13,,99.2831,,,98.2644,100.6986,102.4312,,,1.5000,7.6000,6.6000,,,,,,5.0600,,,,4.2900,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1700,6.2000,,,,,,,,
56,1961-01-20,,99.2831,,,98.2644,100.6986,102.4312,,,1.5000,7.6000,6.6000,,,,,,5.0600,,,,4.2900,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1700,6.2000,,,,,,,,
57,1961-01-27,,99.2831,,,98.2644,100.6986,102.4312,,,1.5000,7.6000,6.6000,,,,,,5.0600,,,,4.2900,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1700,6.2000,,,,,,,,
58,1961-02-03,,99.4815,,,98.3619,100.7230,102.6403,101.0017,,1.5000,7.6000,6.6000,,,,,,4.6600,,,,3.7800,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1500,6.1000,,,,,,,,
59,1961-02-10,,99.4815,,,98.3619,100.7230,102.6403,101.0017,,1.5000,7.6000,6.6000,,,,,,4.6600,,,,3.7800,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1500,6.1000,,,,,,,,
60,1961-02-17,,99.4815,,,98.3619,100.7230,102.6403,101.0017,,1.5000,7.6000,6.6000,,,,,,4.6600,,,,3.7800,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1500,6.1000,,,,,,,,
61,1961-02-24,,99.4815,,,98.3619,100.7230,102.6403,101.0017,,1.5000,7.6000,6.6000,,,,,,4.6600,,,,3.7800,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1500,6.1000,,,,,,,,
62,1961-03-03,,99.7426,,,98.5988,100.7545,102.8231,100.8196,,1.5000,7.7000,6.9000,,,,,,4.1300,,,,3.5300,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0000,6.0000,,,,,,,,
63,1961-03-10,,99.7426,,,98.5988,100.7545,102.8231,100.8196,,1.5000,7.7000,6.9000,,,,,,4.1300,,,,3.5300,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0000,6.0000,,,,,,,,
64,1961-03-17,,99.7426,,,98.5988,100.7545,102.8231,100.8196,,1.5000,7.7000,6.9000,,,,,,4.1300,,,,3.5300,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0000,6.0000,,,,,,,,
65,1961-03-24,,99.7426,,,98.5988,100.7545,102.8231,100.8196,,1.5000,7.7000,6.9000,,,,,,4.1300,,,,3.5300,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0000,6.0000,,,,,,,,
66,1961-03-31,,100.0601,,,98.9609,100.6812,102.9577,100.6156,,1.3000,7.6000,6.9000,,,,,,3.7300,,,,3.7800,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0600,5.9000,,,,,,,,
67,1961-04-07,,100.0601,,,98.9609,100.6812,102.9577,100.6156,,1.3000,7.6000,6.9000,,,,,,3.7300,,,,3.7800,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0600,5.9000,,,,,,,,
68,1961-04-14,,100.0601,,,98.9609,100.6812,102.9577,100.6156,,1.3000,7.6000,6.9000,,,,,,3.7300,,,,3.7800,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0600,5.9000,,,,,,,,
69,1961-04-21,,100.0601,,,98.9609,100.6812,102.9577,100.6156,,1.3000,7.6000,6.9000,,,,,,3.7300,,,,3.7800,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0600,5.9000,,,,,,,,
70,1961-04-28,,100.0601,,,98.9609,100.6812,102.9577,100.6156,,1.3000,7.6000,6.9000,,,,,,3.7300,,,,3.7800,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0600,5.9000,,,,,,,,
71,1961-05-05,,100.4124,,,99.3957,100.4213,103.0460,100.4027,,1.4000,7.6000,7.0000,,,,,,3.3400,,,,3.5300,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0300,5.7000,,,,,,,,
72,1961-05-12,,100.4124,,,99.3957,100.4213,103.0460,100.4027,,1.4000,7.6000,7.0000,,,,,,3.3400,,,,3.5300,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0300,5.7000,,,,,,,,
73,1961-05-19,,100.4124,,,99.3957,100.4213,103.0460,100.4027,,1.4000,7.6000,7.0000,,,,,,3.3400,,,,3.5300,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0300,5.7000,,,,,,,,
74,1961-05-26,,100.4124,,,99.3957,100.4213,103.0460,100.4027,,1.4000,7.6000,7.0000,,,,,,3.3400,,,,3.5300,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0300,5.7000,,,,,,,,
75,1961-06-02,,100.7646,,,99.8388,99.9784,103.0633,100.2001,,1.5000,7.6000,7.1000,,,,,,3.2300,,,,3.7800,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0900,5.6000,,,,,,,,
